,title,budget,revenue,runtime,movie_id,genre
4322,Contract,25000000,5549200,96,1441,"Drama,Action,Thriller,Crime,"
4323,Convict,0,0,110,245527,"Action,Crime,Drama,"
4324,Cool Hand Luke,3200000,16217773,127,903,"Crime,Drama,"
4325,Cop and a Half: New Recruit,0,0,97,461297,"Crime,Comedy,Action,Family,TV Movie,"
4326,Cop Watchers,0,0,45,408202,"Documentary,"
4327,Coraline,60000000,124600000,100,14836,"Animation,Family,Fantasy,"
4328,Counterfeiting in Suburbia,0,0,88,533165,"Thriller,TV Movie,"
4329,Covered: Alive in Asia,0,0,75,398736,"Documentary,"
4330,Crash,6500000,98410061,112,1640,"Drama,"
4331,CRD,0,0,108,390836,
4332,"Crouching Tiger, Hidden Dragon",20000000,0,103,263341,"Action,Adventure,Drama,"
4333,Cult of Chucky,6500000,2200000,91,393345,"Horror,Thriller,"
4334,Cutie and the Boxer,0,0,81,159002,"Documentary,"
4335,Daagdi Chaawl,,,,,
4336,Dabbe 6: The Return,0,0,153,393821,"Horror,"
4337,Dad,10000000,221805,99,20178,"Comedy,Romance,Drama,"
4338,Daddy Day Care,60000000,164433867,92,10708,"Comedy,Family,"
4339,Daddy Issues,0,0,90,501577,"Drama,"
4340,Daemonium,0,0,120,389578,"Science Fiction,Action,"
4341,Daffedar,0,0,153,450311,"Drama,"
4342,Dagh Ujala,0,0,89,837950,"Documentary,"
4343,Dallas Buyers Club,5000000,55736588,117,152532,"Drama,History,"
4344,Dance Academy: The Comeback,0,0,101,429765,"Drama,"
4345,Dancing Quietly,0,0,81,393410,"Comedy,Drama,"
4346,Danny Says,0,0,104,324264,"Documentary,Music,"
4347,Dante's Peak,116000000,178127760,108,9619,"Action,Adventure,Drama,Thriller,"
4348,Dare to Be Wild,0,0,100,348896,"Drama,"
4349,Dark Chocolate (Bengali Version),,,,,
4350,Dark Crimes,4480393,0,93,340674,"Drama,Thriller,"
4351,Dark Places,20000000,5090852,113,182560,"Thriller,Mystery,Drama,Crime,"
4352,Darna Mana Hai,0,0,121,74481,"Horror,"
4353,Darra,0,0,122,462879,"Drama,"
4354,Daughters of the Dust,800000,0,112,68427,"Drama,Romance,"
4355,Dayveon,0,0,75,422052,"Drama,"
4356,De Film van Dylan Haegens,800000,0,81,540632,"Family,Comedy,Adventure,Science Fiction,"
4357,De Palma,0,0,108,355254,"Documentary,"
4358,Dead in a Week (Or Your Money Back),0,0,90,468219,"Comedy,Action,Drama,"
4359,Deadline: Sirf 24 Ghante,0,0,102,423822,"Crime,Drama,"
4360,Deadly Scholars,0,0,90,500734,"Drama,Thriller,"
4361,Dean,0,0,90,2141,"Drama,TV Movie,"
4362,Dear Dad,0,0,84,397367,"Drama,Family,"
4363,Dear Dracula,0,0,43,140109,"Animation,Family,Comedy,"
4364,Dear Santa,0,0,90,145312,"Family,Comedy,Drama,Romance,TV Movie,"
4365,Death at a Funeral,21000000,49050886,92,34803,"Comedy,"
4366,Death House,0,10615000,88,287523,"Horror,Action,Crime,Thriller,Fantasy,"
