,title,budget,revenue,runtime,movie_id,genre
131,X-Men,178000000,543934787,144,246655,"Action,Adventure,Science Fiction,Fantasy,"
137,Beverly Hills Chihuahua 2,12000000,0,84,54540,"Comedy,Family,"
138,Beverly Hills Chihuahua 3: Viva La Fiesta!,0,0,89,105965,"Comedy,Family,"
139,Killer Shark vs Killer Whale,0,0,44,850989,"Documentary,"
140,Mrs. Doubtfire,25000000,441286195,125,788,"Comedy,Drama,Family,"
143,Built for Mars: The Perseverance Rover,0,0,88,799040,"Documentary,"
144,Garfield,50000000,200804534,80,8920,"Animation,Comedy,Family,"
151,Ice Age: The Meltdown,80000000,660998756,91,950,"Animation,Family,Comedy,Adventure,"
152,Playing with Sharks,0,61404,95,776553,"Documentary,"
153,Shark vs. Surfer,0,0,44,843951,"Documentary,"
154,Shark vs. Whale,0,0,44,843979,"Documentary,"
155,Stuntman,0,0,84,562446,"Documentary,"
156,Walking with Dinosaurs: The Movie,80000000,126546518,87,77951,"Animation,Family,Adventure,"
157,What the Shark?,0,0,44,811282,"Documentary,"
163,Most Wanted Sharks,0,0,44,851013,"Documentary,"
164,Secrets of the Bull Shark,0,0,44,851012,"Documentary,"
166,Shark Attack Investigation: The Paige Winter Story,0,0,44,842007,"Documentary,"
167,Sharkcano,0,0,45,729619,"Documentary,"
168,We Bought a Zoo,50000000,120081841,124,74465,"Drama,Comedy,Family,"
169,World's Biggest Bullshark,0,0,44,841729,"Documentary,"
170,World's Most Dangerous Shark?,0,0,44,851122,"Documentary,"
172,Flicka,15000000,21000000,95,14012,"Family,Drama,"
173,"Miraculous World: Shanghai, The Legend of Ladydragon",0,0,52,726684,"Animation,Family,Adventure,Fantasy,Action,TV Movie,"
174,Orca vs. Great White,0,0,0,841673,"Documentary,"
175,Rogue Shark?,0,0,44,841674,"Documentary,"
176,Shark Beach with Chris Hemsworth,0,0,44,836691,"Documentary,"
177,Shark Gangs,0,0,44,842091,"Documentary,"
178,The Croc That Ate Jaws,0,0,44,988347,"Documentary,TV Movie,"
183,"The Good, The Bart, and The Loki",0,0,6,846214,"Animation,Comedy,Family,"
185,The Sandlot,0,32416586,101,11528,"Family,Comedy,"
186,The Sandlot 2,0,0,97,18500,"Family,Comedy,"
187,Adventures in Babysitting,9000000,0,95,360606,"TV Movie,Comedy,Family,"
190,Wolfgang,0,0,78,674419,"Documentary,"
194,Luca,200000000,49010641,95,508943,"Animation,Comedy,Family,Fantasy,"
197,Strange Magic,0,13603453,99,302429,"Music,Animation,Family,Fantasy,"
198,The Happiest Millionaire,0,0,118,25445,"Comedy,Drama,Family,Music,"
199,The Pacifier,56000000,198636868,95,10022,"Comedy,Family,Action,"
204,Raya and the Last Dragon,100000000,130000000,107,527774,"Animation,Family,Fantasy,Action,Adventure,"
205,Red Tails,58000000,50365377,125,72431,"Drama,Action,Adventure,History,War,"
