,title,budget,revenue,runtime,movie_id,genre
1008,Incarnate,5000000.0,6341855.0,91.0,241258.0,"Horror,Thriller,"
1009,Lee Daniels' The Butler,25000000.0,115922175.0,132.0,132363.0,"Drama,"
1010,Nocturnal Animals,22500000.0,29252978.0,117.0,340666.0,"Drama,Thriller,"
1011,Vir Das: Outside In - The Lockdown Special,0.0,0.0,50.0,776673.0,"Comedy,"
1012,Grizzlies,0.0,0.0,106.0,539819.0,"Drama,"
1013,The Professor and the Madman,25000000.0,4957273.0,124.0,411728.0,"History,Drama,Mystery,Thriller,"
1014,A California Christmas,0.0,0.0,106.0,768520.0,"Comedy,Romance,Drama,"
1015,The Netflix Afterparty: The Best Shows of The Worst Year,0.0,0.0,59.0,775821.0,"Documentary,"
1016,A Trash Truck Christmas,0.0,0.0,28.0,774810.0,"Animation,Adventure,Family,"
1017,Canvas,0.0,0.0,9.0,770922.0,"Animation,Family,Drama,"
1018,Giving Voice,0.0,0.0,90.0,653747.0,"Documentary,"
1019,The Prom,0.0,0.0,92.0,487702.0,"Comedy,Drama,"
1020,Torbaaz,0.0,0.0,132.0,681235.0,"Drama,"
1021,Funny Boy,0.0,0.0,109.0,755080.0,"Drama,"
1022,Just The Way You Are,0.0,0.0,84.0,323673.0,"TV Movie,Romance,"
1023,She's the One,3500000.0,9538948.0,96.0,11363.0,"Romance,Comedy,"
1024,The Panti Sisters,0.0,8727994.0,108.0,622327.0,"Comedy,Drama,Romance,"
1025,"Kalel, 15",0.0,0.0,104.0,622845.0,"Drama,"
1026,Rose Island,8000000.0,0.0,120.0,636565.0,"Comedy,Adventure,"
1027,André & his olive tree,0.0,0.0,94.0,21352.0,"Drama,Family,Adventure,"
1028,Bobbleheads The Movie,0.0,0.0,82.0,754433.0,"Family,Animation,Adventure,Comedy,"
1029,Emicida: AmarElo - It’s All For Yesterday,0.0,0.0,89.0,765613.0,"Documentary,Music,"
1030,Spirit Riding Free: Ride Along Adventure,0.0,0.0,22.0,773935.0,"Animation,"
1031,Super Monsters: Santa’s Super Monster Helpers,0.0,0.0,24.0,773936.0,"Animation,Family,"
1032,Triple 9,20000000.0,12639297.0,115.0,146198.0,"Action,Thriller,Mystery,"
1033,Ava,0.0,2987741.0,96.0,539885.0,"Action,Crime,Drama,Adventure,Thriller,"
1034,Mighty Express: A Mighty Christmas,0.0,0.0,25.0,772732.0,"Animation,"
1035,Captain Underpants Mega Blissmas,0.0,0.0,45.0,768509.0,"Animation,Family,Comedy,"
1036,Christmas Crossfire,0.0,0.0,105.0,765123.0,"Comedy,Crime,Thriller,"
1037,Leyla Everlasting,0.0,0.0,112.0,668156.0,"Comedy,"
1038,MANK,25000000.0,122252.0,132.0,614560.0,"Drama,History,"
1039,You Are My Home,0.0,0.0,92.0,750276.0,"Family,"
1040,Between Maybes,0.0,0.0,107.0,602473.0,"Drama,Romance,"
1041,Break,0.0,0.0,89.0,176241.0,"Action,Drama,Thriller,"
1042,Chico Bon Bon and the Very Berry Holiday,0.0,0.0,0.0,771305.0,"Animation,Family,"
1043,Just Another Christmas,0.0,0.0,101.0,755339.0,"Comedy,Family,"
1044,Must Be... Love,0.0,10000000.0,100.0,233364.0,"Comedy,Romance,"
1045,Ari Eldjárn: Pardon My Icelandic,0.0,0.0,54.0,760969.0,"Comedy,"
1046,Fierce,0.0,0.0,112.0,19583.0,"Drama,Thriller,"
1047,Hazel Brugger: Tropical,0.0,0.0,59.0,760653.0,"Comedy,"
1048,3 Days to Kill,28000000.0,52597999.0,113.0,192102.0,"Action,Drama,Thriller,"
1049,Angela's Christmas Wish,0.0,0.0,47.0,752455.0,"Animation,Family,"
1050,Angels & Demons,150000000.0,485930816.0,138.0,13448.0,"Thriller,Mystery,"
1051,Chef,11000000.0,45967935.0,114.0,212778.0,"Comedy,"
1052,Effie Gray,0.0,0.0,104.0,114155.0,"Drama,"
1053,Monster House,75000000.0,140175006.0,91.0,9297.0,"Animation,Comedy,Family,Fantasy,"
1054,Natalie Palamides: Nate - A One Man Show,0.0,0.0,59.0,767809.0,"Comedy,"
1055,Peppermint,25000000.0,53918723.0,102.0,458594.0,"Action,Thriller,"
1056,Quigley Down Under,0.0,0.0,119.0,9588.0,"Western,"
1057,The Da Vinci Code,125000000.0,767820459.0,149.0,591.0,"Thriller,Mystery,"
1058,The Happytime Murders,40000000.0,27506452.0,91.0,412988.0,"Action,Comedy,Crime,"
1059,U-Turn,19000000.0,6682098.0,125.0,10155.0,"Thriller,"
1060,Finding Agnes,0.0,0.0,105.0,756252.0,"Drama,"
1061,Rust Creek,750000.0,0.0,108.0,561362.0,"Thriller,Drama,Action,Crime,"
1062,Spookley and the Christmas Kittens,0.0,0.0,44.0,653881.0,"Animation,Family,Music,Adventure,"
1063,The 2nd,0.0,0.0,93.0,724717.0,"Action,"
1064,A Go! Go! Cory Carson Christmas,0.0,0.0,21.0,766534.0,"Animation,Family,"
1065,Dance Dreams: Hot Chocolate Nutcracker,0.0,0.0,80.0,755328.0,"Documentary,"
1066,Don’t Listen,0.0,443458.0,98.0,726208.0,"Drama,Horror,Thriller,"
1067,The Beast,25000000.0,424967620.0,84.0,10020.0,"Romance,Family,Animation,Fantasy,"
1068,The Call,13000000.0,68572378.0,94.0,158011.0,"Crime,Thriller,"
1069,Fantastica,0.0,1880736.0,104.0,429191.0,"Drama,"
1070,Larry the Cable Guy: Remain Seated,0.0,0.0,68.0,731486.0,"Comedy,"
1071,Mosul,0.0,0.0,86.0,594082.0,"Documentary,"
1072,Unexpectedly Yours,0.0,0.0,120.0,490046.0,"Romance,Comedy,"
1073,Ghosts of War,0.0,178592.0,94.0,608195.0,"Horror,Thriller,War,Fantasy,"
1074,Shawn Mendes: Live in Concert,0.0,0.0,87.0,768410.0,"Music,Documentary,"
1075,The Christmas Chronicles: Part Two,0.0,0.0,112.0,654028.0,"Family,Fantasy,Adventure,Comedy,"
1076,Andhaghaaram,0.0,0.0,171.0,759216.0,"Thriller,"
1077,Andhakaaram,0.0,0.0,171.0,759216.0,"Thriller,"
1078,Dragons: Rescue Riders: Huttsgalor Holiday,0.0,0.0,46.0,768076.0,"Animation,Family,"
